Theta,Phi,RCS(dBsm)
50.0,5.0,-29.80808304947069
50.0,6.0,-36.04679979322388
50.0,7.0,-21.735671169085002
50.0,8.0,-17.40753176549621
50.0,9.0,-17.81893942886733
50.0,10.0,-19.011162643623337
50.0,11.0,-20.77937537088736
50.0,12.0,-29.357524207885493
50.0,13.0,-20.162276313318706
50.0,14.0,-17.490409966012535
50.0,15.0,-16.0495904594095
50.0,16.0,-14.328865004803482
50.0,17.0,-16.24502982539484
50.0,18.0,-21.720614431678968
50.0,19.0,-36.519601225221464
50.0,20.0,-21.933550618516094
50.0,21.0,-17.329831740437932
50.0,22.0,-13.510559679345832
50.0,23.0,-11.694962230283439
50.0,24.0,-13.247713870035426
50.0,25.0,-12.820375741776019
50.0,26.0,-15.635958117457527
50.0,27.0,-19.03367241005135
50.0,28.0,-36.0619761401808
50.0,29.0,-24.10002835902504
50.0,30.0,-17.81573037217211
50.0,31.0,-13.919747927843527
50.0,32.0,-11.171881183135648
50.0,33.0,-10.185906367655972
50.0,34.0,-9.08862139703362
50.0,35.0,-8.75647898563632
50.0,36.0,-7.426249645324137
50.0,37.0,-7.974722243415217
50.0,38.0,-7.248670386070097
50.0,39.0,-7.850111080603444
50.0,40.0,-7.4350457134296
50.0,41.0,-7.4409363243748805
50.0,42.0,-8.771458615021917
50.0,43.0,-8.462534254792958
50.0,44.0,-9.481646703354127
50.0,45.0,-10.48486483608623
51.0,-45.0,-11.767785856210228
51.0,-44.0,-11.848673316161474
51.0,-43.0,-11.074524457449485
51.0,-42.0,-9.460971930434921
51.0,-41.0,-9.57030496099177
51.0,-40.0,-8.343678926121845
51.0,-39.0,-8.137737738783269
51.0,-38.0,-8.624504379811427
51.0,-37.0,-7.601993082979805
51.0,-36.0,-8.253707237989147
51.0,-35.0,-7.8786541371587395
51.0,-34.0,-8.974323076836209
51.0,-33.0,-9.101359681681476
51.0,-32.0,-9.819394670627346
51.0,-31.0,-11.154019178014355
51.0,-30.0,-13.545654735442357
51.0,-29.0,-16.542988964804152
51.0,-28.0,-21.290226803918397
51.0,-27.0,-33.730266608016535
51.0,-26.0,-19.843539728073495
51.0,-25.0,-17.14865988651422
51.0,-24.0,-13.617947066889588
51.0,-23.0,-13.133439157767612
51.0,-22.0,-11.93457601754809
51.0,-21.0,-14.345992047282017
51.0,-20.0,-17.609810335652266
51.0,-19.0,-20.558412987553876
51.0,-18.0,-31.46406007913751
51.0,-17.0,-19.572611844093082
51.0,-16.0,-17.480114506867267
51.0,-15.0,-15.367606594486528
51.0,-14.0,-15.13870434514127
51.0,-13.0,-18.23275941746104
51.0,-12.0,-26.444754226873975
51.0,-11.0,-40.24982283885913
51.0,-10.0,-23.206853123928965
51.0,-9.0,-17.08410877132666
51.0,-8.0,-16.04314025230787
51.0,-7.0,-20.330986562611738
51.0,-6.0,-31.313013164238033
51.0,-5.0,-37.280212989399175
51.0,-4.0,-24.452112260146667
51.0,-3.0,-18.063737053045273
51.0,-2.0,-18.78164530722774
51.0,-1.0,-24.753595967889698
51.0,0.0,-26.618448556705843
51.0,1.0,-24.753595967886852
51.0,2.0,-18.78164530722603
51.0,3.0,-18.063737053044278
51.0,4.0,-24.452112260149406
51.0,5.0,-37.28021298938283
51.0,6.0,-31.31301316424088
51.0,7.0,-20.330986562618648
51.0,8.0,-16.0431402523113
51.0,9.0,-17.084108771330154
51.0,10.0,-23.206853123934728
51.0,11.0,-40.24982283883587
51.0,12.0,-26.444754226881436
51.0,13.0,-18.232759417461395
51.0,14.0,-15.138704345144285
51.0,15.0,-15.367606594494774
51.0,16.0,-17.480114506869818
51.0,17.0,-19.572611844075492
51.0,18.0,-31.464060079068027
51.0,19.0,-20.558412987569717
51.0,20.0,-17.609810335661827
51.0,21.0,-14.345992047279882
51.0,22.0,-11.934576017542868
51.0,23.0,-13.133439157768684
51.0,24.0,-13.617947066893477
51.0,25.0,-17.14865988650972
51.0,26.0,-19.843539728064577
51.0,27.0,-33.73026660806223
51.0,28.0,-21.29022680393637
51.0,29.0,-16.54298896481254
51.0,30.0,-13.54565473544778
51.0,31.0,-11.154019178014247
51.0,32.0,-9.819394670623915
51.0,33.0,-9.10135968168028
51.0,34.0,-8.974323076833576
51.0,35.0,-7.878654137158886
51.0,36.0,-8.253707237987017
51.0,37.0,-7.601993082977221
51.0,38.0,-8.624504379812011
51.0,39.0,-8.137737738785379
51.0,40.0,-8.343678926123593
51.0,41.0,-9.570304960991812
51.0,42.0,-9.460971930433796
51.0,43.0,-11.074524457450515
51.0,44.0,-11.848673316160305
51.0,45.0,-11.767785856209972
52.0,-45.0,-17.15342779260699
52.0,-44.0,-13.324992869538942
52.0,-43.0,-13.26658784143055
52.0,-42.0,-12.724326025456312
52.0,-41.0,-10.44279780525696
52.0,-40.0,-10.377598145025624
52.0,-39.0,-9.39903402995942
52.0,-38.0,-8.895280400610448
52.0,-37.0,-9.286599443353932
52.0,-36.0,-7.998675929693703
52.0,-35.0,-8.706484264415765
52.0,-34.0,-8.454339644185735
52.0,-33.0,-9.085518132273098
