Theta,Phi,RCS(dBsm)
46.0,-15.0,-27.296496265182096
46.0,-14.0,-18.276979615716154
46.0,-13.0,-13.579693157373153
46.0,-12.0,-14.073449657807672
46.0,-11.0,-16.722418348752967
46.0,-10.0,-21.667343242166247
46.0,-9.0,-27.58474222518387
46.0,-8.0,-25.36075643837538
46.0,-7.0,-18.56201534540418
46.0,-6.0,-13.113741816540923
46.0,-5.0,-13.435952205648958
46.0,-4.0,-20.71721924256738
46.0,-3.0,-22.838037034048938
46.0,-2.0,-21.414006448025535
46.0,-1.0,-16.891832125110938
46.0,0.0,-13.969827116096134
46.0,1.0,-16.891832125111502
46.0,2.0,-21.41400644803913
46.0,3.0,-22.83803703406069
46.0,4.0,-20.717219242573385
46.0,5.0,-13.435952205649954
46.0,6.0,-13.113741816539868
46.0,7.0,-18.56201534539862
46.0,8.0,-25.360756438368206
46.0,9.0,-27.58474222518597
46.0,10.0,-21.667343242155628
46.0,11.0,-16.722418348751425
46.0,12.0,-14.073449657815422
46.0,13.0,-13.579693157381529
46.0,14.0,-18.276979615721608
46.0,15.0,-27.29649626515595
46.0,16.0,-24.798661695724732
46.0,17.0,-18.29995592983372
46.0,18.0,-13.046985046585984
46.0,19.0,-14.319640080881523
46.0,20.0,-13.702527934689888
46.0,21.0,-13.864678596897967
46.0,22.0,-26.681235558294844
46.0,23.0,-22.132768805177587
46.0,24.0,-24.57052549685214
46.0,25.0,-15.0351133553771
46.0,26.0,-18.235504966895896
46.0,27.0,-12.488681546591033
46.0,28.0,-12.935792657329127
46.0,29.0,-12.041571538679749
46.0,30.0,-10.554328002857641
46.0,31.0,-15.443766752867356
46.0,32.0,-12.434113003206871
46.0,33.0,-21.863820989817462
46.0,34.0,-17.667430996371255
46.0,35.0,-19.205322253872243
46.0,36.0,-25.74283050267291
46.0,37.0,-11.286323276241726
46.0,38.0,-13.878452542171866
46.0,39.0,-7.9083308285438445
46.0,40.0,-8.658472123837807
46.0,41.0,-6.914192738528627
46.0,42.0,-6.435337138330009
46.0,43.0,-7.783984691931919
46.0,44.0,-4.791188314045976
46.0,45.0,-8.074378686274633
47.0,-45.0,-5.128367751049577
47.0,-44.0,-8.640274653377002
47.0,-43.0,-5.4164457025039505
47.0,-42.0,-7.712648635543532
47.0,-41.0,-6.960796063699575
47.0,-40.0,-6.528137168821636
47.0,-39.0,-8.856133948780315
47.0,-38.0,-7.462979307387697
47.0,-37.0,-13.017035887041281
