Theta,Phi,RCS(dBsm)
46.0,11.0,-16.334670477457745
46.0,12.0,-14.417014243724777
46.0,13.0,-16.627200383731488
46.0,14.0,-19.732174194419542
46.0,15.0,-21.571061467906233
46.0,16.0,-31.351688250345976
46.0,17.0,-18.10045677912668
46.0,18.0,-15.164404630182863
46.0,19.0,-14.786854440167987
46.0,20.0,-12.869111016336003
46.0,21.0,-13.572970258844117
46.0,22.0,-17.267766701107053
46.0,23.0,-23.68820124238684
46.0,24.0,-28.11848963252048
46.0,25.0,-20.01915313840138
46.0,26.0,-14.408871873414634
46.0,27.0,-11.208201013976836
46.0,28.0,-10.961278996184614
46.0,29.0,-10.39508903211793
46.0,30.0,-11.635275121031952
46.0,31.0,-11.693168754490017
46.0,32.0,-15.465958826425654
46.0,33.0,-19.53674011444573
46.0,34.0,-37.88984194233072
46.0,35.0,-26.422503794529504
46.0,36.0,-16.097522720585033
46.0,37.0,-13.4402349966077
46.0,38.0,-9.859360541911549
46.0,39.0,-9.23035087975609
46.0,40.0,-7.630822504087719
46.0,41.0,-6.987151999299066
46.0,42.0,-6.028699191008805
46.0,43.0,-5.140203448290851
46.0,44.0,-5.347543845361295
46.0,45.0,-4.597647072743067
47.0,-45.0,-5.582839322095784
47.0,-44.0,-5.020456498235046
47.0,-43.0,-5.58850692409994
47.0,-42.0,-5.4548110633481794
47.0,-41.0,-6.078775673400212
47.0,-40.0,-7.0632006931179845
47.0,-39.0,-7.25597280350393
47.0,-38.0,-8.711352773316927
47.0,-37.0,-9.275902568483255
47.0,-36.0,-12.464961099667299
47.0,-35.0,-14.43329119458372
47.0,-34.0,-20.27854524902576
47.0,-33.0,-26.228633940459435
47.0,-32.0,-22.778083908186098
47.0,-31.0,-17.11120035209104
47.0,-30.0,-13.101483270651585
47.0,-29.0,-12.641955903960884
47.0,-28.0,-10.601274029960571
47.0,-27.0,-11.01684472137655
47.0,-26.0,-11.50739568166701
47.0,-25.0,-14.794726866779953
47.0,-24.0,-18.40753921381271
47.0,-23.0,-25.10487787323371
47.0,-22.0,-23.44775210869254
47.0,-21.0,-17.206059475453756
47.0,-20.0,-14.648058293229514
47.0,-19.0,-13.736014778229329
47.0,-18.0,-14.461507495018253
47.0,-17.0,-15.38922041602059
47.0,-16.0,-20.294479433044526
47.0,-15.0,-35.266061365735936
47.0,-14.0,-23.092762019475487
47.0,-13.0,-19.917502681299368
47.0,-12.0,-15.598436254206621
47.0,-11.0,-15.015284489233913
47.0,-10.0,-19.138314193270173
47.0,-9.0,-28.992571783956112
47.0,-8.0,-43.65060014420148
47.0,-7.0,-22.512144303968817
47.0,-6.0,-17.51552678416821
47.0,-5.0,-18.23539991259054
47.0,-4.0,-22.514450552540104
47.0,-3.0,-23.434608118606178
47.0,-2.0,-25.113349856128906
47.0,-1.0,-19.964882034263567
47.0,0.0,-17.242465917951893
47.0,1.0,-19.964882034256895
47.0,2.0,-25.113349856139756
47.0,3.0,-23.434608118610782
47.0,4.0,-22.514450552543185
47.0,5.0,-18.23539991259957
47.0,6.0,-17.515526784175112
47.0,7.0,-22.512144303974154
47.0,8.0,-43.65060014429823
47.0,9.0,-28.992571784024857
47.0,10.0,-19.138314193295358
47.0,11.0,-15.01528448924333
47.0,12.0,-15.598436254200315
47.0,13.0,-19.91750268124933
47.0,14.0,-23.092762019412444
47.0,15.0,-35.26606136546383
47.0,16.0,-20.294479433030727
47.0,17.0,-15.389220416010765
47.0,18.0,-14.461507494992631
47.0,19.0,-13.736014778189734
47.0,20.0,-14.648058293200148
47.0,21.0,-17.20605947547339
47.0,22.0,-23.447752108758294
47.0,23.0,-25.104877873221287
47.0,24.0,-18.407539213806043
47.0,25.0,-14.794726866757754
47.0,26.0,-11.507395681666514
47.0,27.0,-11.016844721383848
47.0,28.0,-10.601274029967001
47.0,29.0,-12.641955903967343
47.0,30.0,-13.101483270649851
47.0,31.0,-17.111200352101392
47.0,32.0,-22.778083908168554
47.0,33.0,-26.228633940491065
47.0,34.0,-20.278545249033396
47.0,35.0,-14.433291194584953
47.0,36.0,-12.464961099662437
47.0,37.0,-9.27590256848805
47.0,38.0,-8.711352773313358
47.0,39.0,-7.255972803506062
47.0,40.0,-7.06320069312425
47.0,41.0,-6.078775673400489
47.0,42.0,-5.45481106335405
47.0,43.0,-5.588506924103136
47.0,44.0,-5.020456498237735
47.0,45.0,-5.58283932209407
48.0,-45.0,-6.051940734395562
48.0,-44.0,-6.367505928834728
48.0,-43.0,-5.555035795122465
48.0,-42.0,-5.920980119468241
48.0,-41.0,-5.917725211300424
48.0,-40.0,-6.263132974995578
48.0,-39.0,-7.202783147292529
48.0,-38.0,-7.05903304637519
48.0,-37.0,-8.42465048728667
48.0,-36.0,-9.036434905005192
48.0,-35.0,-11.710630473587951
48.0,-34.0,-13.154925423806406
48.0,-33.0,-17.212135949741757
48.0,-32.0,-22.470780119991147
48.0,-31.0,-27.2051542165524
48.0,-30.0,-19.509678600383587
48.0,-29.0,-14.760728989039492
48.0,-28.0,-13.276049934185025
48.0,-27.0,-10.767261907025784
48.0,-26.0,-11.473705499597393
48.0,-25.0,-12.02445758340316
48.0,-24.0,-14.601736170529465
